Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Description(New)),Custom field (Development),Custom field (Epic Link),Epic Link Summary,Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Steps),Custom field (Test level),Custom field (Total forms),Custom field ([CHART] Date of First Response),Custom field (testcase result),Status Category
Mua sản phẩm tại giỏ hàng,NC-77,10334,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:40,3/22/2023 14:40,3/22/2023 14:40,,,0,buy,"# Nhấp vào giỏ hàng
# Chọn mua quyển sách Bí kíp độc thoại",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Điều hướng đến trang thanh toán và nhập các thông tin thanh toán,,,,,,,,,,NC-4,Buy,Điều hướng đến trang thanh toán và nhập các thông tin thanh toán,,,,,0|i00171:zi,,BAN Sprint 3,,,,,,,,"1. Bấm vào giỏ hàng
2. Chọn mua sản bất kỳ trong giỏ hàng",SysTem,,,,To Do
Mua sản phẩm tại trang chi tiết,NC-76,10333,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:38,3/22/2023 14:38,3/22/2023 14:38,,,0,buy,"# Bấm xem chi tiết sách Ngữ Văn 6
# Bấm nút mua hàng",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Điều hướng đến trang thanh toán và nhập các thông tin thanh toán,,,,,,,,,,NC-4,Buy,Điều hướng đến trang thanh toán và nhập các thông tin thanh toán,,,,,0|i00171:z,,BAN Sprint 3,,,,,,,,"1. Bấm xem chi tiết 1 sản phẩm bất kỳ
2. Bấm mua sản phẩm",SysTem,,,,To Do
Thêm sản phẩm vào giỏ hàng,NC-75,10332,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:35,3/22/2023 14:35,3/22/2023 14:35,,,0,cart,"# Bấm xem quyển sách Toán 2
# Thêm quyển sách đó vào giỏ hàng",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Sản phẩm được thêm vào giỏ hàng và điều hướng đến trang giỏ hàng,,,,,,,,,,NC-5,Cart,Sản phẩm được thêm vào giỏ hàng và điều hướng đến trang giỏ hàng,,,,,0|i00171:y,,BAN Sprint 3,,,,,,,,"1. Nhấn xem chi tiết một sản phẩm bất kỳ
2. Thêm sản phẩm đó vào giỏ hàng",SysTem,,,,To Do
Tìm kiếm sản phẩm,NC-74,10331,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:32,3/22/2023 14:32,3/22/2023 14:32,,,0,search,"# Nhấp vào biểu tượng tìm kiếm
# Nhập sách giáo khoa lớp 1
# Nhấn enter",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Các sản phẩm liên quan đến từ khóa hiện ra,,,,,,,,,,NC-3,Search,Các sản phẩm liên quan đến từ khóa hiện ra,,,,,0|i00171:x,,BAN Sprint 3,,,,,,,,"1. Nhấp vào biểu tưởng tìm kiếm trên trang chủ
2. Gõ từ khóa sản phẩm muốn tìm kiếm
3. Nhấn enter",SysTem,,,pass,To Do
Đăng nhập tài khoản,NC-73,10330,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:28,3/22/2023 14:28,3/22/2023 14:28,,,0,Login,"# Email: tranthimaitram2021@gmail.com
# Mật khẩu: 123456",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Chuyển đến trang chủ mua sắm,,,,,,,,,,NC-1,login,Chuyển đến trang chủ mua sắm,,,,,0|i00171:v,,BAN Sprint 3,,,,,,,,"1. Nhập thông tin đăng nhập
2. Nhấn enter",SysTem,,,pass,To Do
Đăng ký tài khoản,NC-72,10329,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:26,3/22/2023 14:28,3/22/2023 14:28,,,0,Register,"# Tên: Trâm
# Họ: Trần
# Email: tranthimaitram2021@gmail.com
# Mật khẩu: 123456
# Nhấn nút đăng ký",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Chuyển đến trang thông tin tài khoản,,,,,,,,,,NC-2,Register,Chuyển đến trang thông tin tài khoản,,,,,0|i00171:r,,BAN Sprint 3,,,,,,,,"1. Điền đầy đủ thông tin trong form đăng lý
2. Nhấn nút đăng ký",SysTem,,,pass,To Do
Hiện thị sách theo đơn giá,NC-71,10328,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:21,3/22/2023 14:21,3/22/2023 14:21,,,0,search,"# Vào trang chi tiết sản phẩm
# Hiện thị sản phẩm nhỏ hơn 100,000đ",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Hiện thị các sản phẩm có giá dưới 100.000đ,,,,,,,,,,NC-3,Search,Hiện thị các sản phẩm có giá dưới 100.000đ,,,,,0|i00171:i,,BAN Sprint 2,,,,,,,,"1. Vào trang chi tiết sản phẩm
2. Bấm chọn hiện thị sản phẩm nhỏ hơn 100.000đ",Integration,,,pass,To Do
Xóa sản phẩm ra khỏi giỏ hàng,NC-70,10327,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:18,3/22/2023 14:18,3/22/2023 14:18,,,0,cart,"# Thêm quyển sách Âm nhạc 5 vào giỏ hàng
# Vào giỏ hàng xóa quyển sách đó đi",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,Sản phẩm bị xóa ra khỏi giỏ hàng,,,,,,,,,,NC-5,Cart,Sản phẩm bị xóa ra khỏi giỏ hàng,,,,,0|i00172:i,,BAN Sprint 2,,,,,,,,"1) Nhấn thêm vào 1 sản phẩm
2) Nhấn nút xóa sản phẩm trong giỏ hàng",Integration,,,pass,To Do
Tăng số lượng sản phẩm trong giỏ hàng,NC-69,10326,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:12,3/22/2023 14:14,3/22/2023 14:13,,,0,cart,"# Thêm quyển sách Tiếng Anh 3 vào giỏ hàng
# Vào giỏ hàng tăng số lượng lên 2
# Bấm cập nhật",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,"Giỏ hàng cập nhật ảnh, giá và số lượng 2 sản phẩm",,,,,,,,,,,,"Giỏ hàng cập nhật ảnh, giá và số lượng 2 sản phẩm",,,,,0|i00172:,,,,,,,,,,"1. Thêm 1 quyển sách vào giỏ hàng
2. Vào giỏ hàng cập nhật số lượng tăng lên 2
3. Bấm cập nhật",Integration,,,pass,To Do
Thêm nhiều sách nhưng khác thể ,NC-68,10325,Story,To Do,NC,N3_CD21CT8,software,Tùng Ngố,62960b7b1648f2006961e090,,Medium,,,,Mixi Vinh,62a2a26de318a50069397d79,Mixi Vinh,62a2a26de318a50069397d79,3/22/2023 14:07,3/22/2023 14:07,3/22/2023 14:08,,,0,cart,"# Thêm quyển sách Tiếng Việt 1
# Thêm quyển sách Toán 2",,Mixi Vinh,62a2a26de318a50069397d79,,,,,,,,,,"Giỏ hàng cập nhật ảnh, giá và số lượng 2 sản phẩm",,,,,,,,,,NC-5,Cart,"Giỏ hàng cập nhật ảnh, giá và số lượng 2 sản phẩm",,,,,0|i00171:,,BAN Sprint 2,,,,,,,,"1) Nhấn thêm 1 quyển sách vào giỏ hàng
2) Quay về trang sản phẩm
3) Nhấn thêm vào giỏ hàng quyển sách ",Integration,,,pass,To Do
